"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-06","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064512","10.3.1.1.1.1","2594.1","","","","1"
"2025-07","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064512","10.3.1.1.1.1","2577.3","","","","1"
"2025-08","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064512","10.3.1.1.1.1","2563.1","","","","1"
"2025-04","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339366","10.3.1.1.1.3","2569.0","","","","1"
"2025-05","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339366","10.3.1.1.1.3","2570.8","","","","1"
"2025-06","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339366","10.3.1.1.1.3","2572.9","","","","1"
"2025-07","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339366","10.3.1.1.1.3","2574.1","","","","1"
"2025-08","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339366","10.3.1.1.1.3","2574.6","","","","1"
"2025-04","Alberta","2021A000248","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064513","10.4.1.1.1.1","2098.7","","","","1"
"2025-05","Alberta","2021A000248","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064513","10.4.1.1.1.1","2096.9","","","","1"
"2025-06","Alberta","2021A000248","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064513","10.4.1.1.1.1","2148.2","","","","1"
"2025-07","Alberta","2021A000248","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064513","10.4.1.1.1.1","2109.8","","","","1"
"2025-08","Alberta","2021A000248","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064513","10.4.1.1.1.1","2119.4","","","","1"
"2025-04","Alberta","2021A000248","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064514","10.5.1.1.1.1","467.1","","","","1"
"2025-05","Alberta","2021A000248","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064514","10.5.1.1.1.1","467.2","","","","1"
"2025-06","Alberta","2021A000248","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064514","10.5.1.1.1.1","445.9","","","","1"
"2025-07","Alberta","2021A000248","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064514","10.5.1.1.1.1","467.5","","","","1"
"2025-08","Alberta","2021A000248","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064514","10.5.1.1.1.1","443.8","","","","1"
"2025-04","Alberta","2021A000248","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064515","10.6.1.1.1.1","195.2","","","","1"
"2025-05","Alberta","2021A000248","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064515","10.6.1.1.1.1","204.3","","","","1"
"2025-06","Alberta","2021A000248","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064515","10.6.1.1.1.1","189.6","","","","1"
"2025-07","Alberta","2021A000248","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064515","10.6.1.1.1.1","218.9","","","","1"
"2025-08","Alberta","2021A000248","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064515","10.6.1.1.1.1","235.4","","","","1"
"2025-04","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064516","10.7.1.1.1.1","7.1","","","","1"
"2025-05","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064516","10.7.1.1.1.1","7.4","","","","1"
"2025-06","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064516","10.7.1.1.1.1","6.8","","","","1"
"2025-07","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064516","10.7.1.1.1.1","7.8","","","","1"
"2025-08","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064516","10.7.1.1.1.1","8.4","","","","1"
"2025-04","Alberta","2021A000248","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064517","10.8.1.1.1.1","68.5","","","","1"
"2025-05","Alberta","2021A000248","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064517","10.8.1.1.1.1","68.5","","","","1"
"2025-06","Alberta","2021A000248","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064517","10.8.1.1.1.1","68.7","","","","1"
"2025-07","Alberta","2021A000248","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064517","10.8.1.1.1.1","68.9","","","","1"
"2025-08","Alberta","2021A000248","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064517","10.8.1.1.1.1","68.8","","","","1"
"2025-04","Alberta","2021A000248","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064518","10.9.1.1.1.1","63.6","","","","1"
"2025-05","Alberta","2021A000248","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064518","10.9.1.1.1.1","63.4","","","","1"
"2025-06","Alberta","2021A000248","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064518","10.9.1.1.1.1","64.0","","","","1"
"2025-07","Alberta","2021A000248","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064518","10.9.1.1.1.1","63.5","","","","1"
"2025-08","Alberta","2021A000248","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064518","10.9.1.1.1.1","63.0","","","","1"


